2	51	13883
2	54	10300
2	56	6152
2	59	4337
2	79	1990
3	104	431
3	150	65
4	51	228
4	169	384
4	188	221
4	191	202
5	196	620
5	213	209
5	237	118
5	238	115
6	254	20
6	255	20
6	268	16
6	271	15
6	273	15
6	275	14
6	276	14
7	324	605
7	325	599
7	330	527
8	97	354
8	336	1735
8	347	505
8	358	280
9	367	2396
9	387	430
9	390	381
9	392	364
9	397	307
9	403	273
9	408	249
10	225	1297
10	424	797
10	426	603
10	428	578
10	430	560
10	438	308
10	439	291
10	441	238
10	451	169
11	295	521
11	463	1235
11	466	956
11	483	247
11	484	244
12	466	1485
13	295	2
13	325	3
13	461	3
13	498	6
13	543	2
14	566	671
14	570	655
14	575	648
14	579	635
14	582	633
14	585	631
15	622	302
16	636	617
16	644	366
16	645	311
16	649	257
16	651	250
16	657	209
16	660	174
16	672	144
16	677	139
17	67	303
17	683	474
17	686	373
17	700	116
17	702	109
18	72	404
18	190	544
18	389	393
18	710	646
18	716	409
18	720	318
18	735	192
20	746	285
20	747	274
20	749	261
21	289	4620
21	679	159
21	681	118
21	787	426
21	798	145
22	804	3804
22	809	2301
22	822	1032
22	834	684
22	847	534
22	848	529
23	152	330
23	226	292
23	865	192
23	868	186
24	316	1998
24	896	633
25	310	77
25	328	191
25	331	153
25	455	3009
26	917	3967
26	921	1356
26	926	812
26	942	284
26	948	226
27	917	81
27	964	172
27	982	66
27	984	65
27	988	61
28	59	8
28	72	8
28	905	7
28	995	15
28	1006	9
28	1021	7
29	161	30
29	302	121
29	328	62
29	464	32
29	679	293
29	1040	63
29	1046	23
30	321	671
30	498	1604
30	679	321
31	534	266
31	880	440
31	1070	182
31	1082	58
32	220	327
32	377	169
33	607	315
33	1118	996
33	1136	296
33	1137	287
34	441	2261
34	1154	399
34	1157	297
34	1163	201
35	1172	1
36	493	611
36	497	782
36	805	952
36	808	1089
36	1189	494
37	233	434
37	1211	288
37	1215	281
38	342	56
38	498	1764
38	562	26
38	701	55
38	1239	68
38	1248	12
39	181	71
39	1273	59
39	1283	55
40	1066	366
40	1296	927
40	1304	454
40	1318	253
40	1320	233
40	1324	215
40	1335	176
41	843	637
41	1257	1085
41	1355	485
41	1360	400
41	1364	349
42	225	192
43	278	121
44	436	331
44	1418	235
44	1419	196
45	300	851
45	332	139
45	466	307
45	701	1171
45	1430	518
45	1434	261
45	1447	112
46	466	4521
46	646	671
47	681	1075
47	794	233
47	1456	218
48	227	15
48	1475	21
49	89	156
49	913	85
49	1106	197
49	1494	114
50	56	672
50	171	419
50	1151	533
50	1394	779
50	1412	228
51	706	202
51	928	262
51	1356	157
51	1528	292
51	1534	164
52	1542	279
52	1545	193
52	1546	191
52	1550	164
52	1561	106
52	1570	79
53	67	64
53	288	1620
53	289	267
53	644	55
53	701	128
53	1586	28
53	1588	27
54	289	16391
54	360	41
54	1591	112
54	1603	38
55	65	316
55	425	757
55	1607	829
55	1612	712
55	1618	545
56	424	1934
56	436	351
56	1513	2279
56	1645	1491
56	1647	840
56	1668	339
57	207	141
57	1246	37
57	1670	13000
57	1671	1488
58	67	1225
58	1597	525
58	1698	3
59	67	757
59	72	3445
59	1706	816
60	204	43
60	1727	69
60	1738	49
61	1757	600
61	1768	232
61	1781	170
62	310	135
62	1784	542
62	1790	101
62	1791	98
62	1794	89
62	1796	77
62	1797	73
62	1799	67
63	203	65
63	1358	60
63	1807	97
63	1812	66
64	1427	402
64	1819	398
64	1832	215
65	209	355
65	808	136
65	850	83
65	1678	112
65	1862	150
65	1869	94
65	1870	92
66	880	313
66	993	611
66	997	688
66	1883	716
68	67	624
68	327	85
68	913	119
68	1032	321
69	616	181
69	1951	389
69	1952	352
69	1955	305
69	1956	301
70	432	196
70	856	272
70	1104	170
70	1975	1202
70	1984	314
71	930	243
71	1104	111
71	1993	451
71	1994	398
71	2000	203
71	2004	135
71	2008	104
71	2012	87
71	2015	79
71	2016	78
72	257	6
72	299	2
72	300	30
72	329	32
72	485	6
72	792	48
72	1820	4
73	19	374
73	30	782
73	68	329
73	1890	428
73	2030	415
73	2042	182
74	786	110
74	2049	923
74	2051	661
74	2056	255
74	2072	146
75	329	141
75	2085	62
76	1857	746
76	2100	900
76	2104	786
76	2108	731
76	2117	615
77	230	203
77	430	924
77	1239	238
78	785	108
78	1548	149
78	2143	759
78	2147	321
78	2149	296
78	2152	233
78	2156	180
78	2168	101
78	2172	85
79	498	33
79	786	24
79	889	15752
79	903	153
79	2183	14
79	2184	14
80	2196	16
80	2212	4
80	2213	3
81	2223	338
81	2228	279
81	2248	145
82	154	108
82	426	162
82	433	1617
82	440	266
82	1159	166
82	2263	2020
82	2271	297
82	2276	230
82	2293	115
82	2297	102
83	196	724
83	2312	969
83	2332	526
84	570	90
84	843	239
84	1244	1359
84	1338	1097
84	1814	59
84	2352	69
85	808	96
85	851	119
85	861	89
85	962	112
85	2354	495
85	2367	119
